challenger,vs,retention_axis,challenger_recovery,ref_recovery,challenger_retention,ref_retention,dominates_by_mean,challenger_recovery_r0.9,ref_recovery_r0.9,P_dominates_bootstrap,dominates_at_both_ratios
d1_E2_g2,sharecap_c0.05,synthetic r0.2,0.8508527269497246,0.999475928228815,0.9763496143958869,0.9861182519280206,False,,1.0004456212530248,0.0,False
d1_E2_g2,sharecap_c0.05,cicids r0.2,0.8508527269497246,0.999475928228815,0.6700089126559715,0.8072638146167559,False,,1.0004456212530248,0.0,False
d1_E2_g2,sharecap_c0.08,synthetic r0.05,0.8508527269497246,0.9924054006040149,0.9148825065274152,1.0,False,,0.9954764261175507,0.0,False
d1_E2_g2,sharecap_c0.08,synthetic r0.2,0.8508527269497246,0.9924054006040149,0.9763496143958869,0.9943444730077119,False,,0.9954764261175507,0.0,False
d1_E2_g2,sharecap_c0.08,cicids r0.2,0.8508527269497246,0.9924054006040149,0.6700089126559715,0.8335561497326204,False,,0.9954764261175507,0.0,False
d1_E2_g3,knn,synthetic r0.05,0.8655800319772606,0.9894563865695506,0.7127937336814623,0.4234986945169713,False,,0.9909010358103312,0.01,False
d1_E2_g3,knn,synthetic r0.2,0.8655800319772606,0.9894563865695506,0.9424164524421592,0.7840616966580977,False,,0.9909010358103312,0.00925,False
d1_E2_g3,knn,cicids r0.2,0.8655800319772606,0.9894563865695506,0.6635472370766489,0.6584224598930482,False,,0.9909010358103312,0.0105,False
d1_E2_g3,uniform_w0.1,synthetic r0.05,0.8655800319772606,0.988807958784864,0.7127937336814623,0.9122715404699739,False,,0.4332941255719238,0.0,False
d1_E2_g3,uniform_w0.1,synthetic r0.2,0.8655800319772606,0.988807958784864,0.9424164524421592,0.9763496143958869,False,,0.4332941255719238,0.0,False
d1_E2_g3,uniform_w0.1,cicids r0.2,0.8655800319772606,0.988807958784864,0.6635472370766489,0.7410873440285204,False,,0.4332941255719238,0.0,False
d1_E2_g3,uniform_w0.05,synthetic r0.05,0.8655800319772606,0.9980547166459407,0.7127937336814623,0.7107049608355093,False,,0.5220504795610112,0.007,False
d1_E2_g3,uniform_w0.05,synthetic r0.2,0.8655800319772606,0.9980547166459407,0.9424164524421592,0.9604113110539844,False,,0.5220504795610112,0.0,False
d1_E2_g3,uniform_w0.05,cicids r0.2,0.8655800319772606,0.9980547166459407,0.6635472370766489,0.7054367201426025,False,,0.5220504795610112,0.0,False
d1_E2_g3,sharecap_c0.03,synthetic r0.05,0.8655800319772606,1.0028690708829278,0.7127937336814623,0.9932114882506528,False,,1.001409406753753,0.0,False
