model,threshold_mode,scenario,target_poison_ratio,jitter,fpr_mean,fpr_sd,tpr_mean,tpr_sd,realized_nn
rf,recalibrated,a1,0.2,0.05,0.009825,0.00017410485346480164,0.7964497041420119,0.06277755801756878,0.04852012134094384
rf,recalibrated,a1,0.2,0.07,0.009920000000000002,9.25337776166083e-05,0.8024803436816083,0.057736229580653546,0.06549662205094063
rf,recalibrated,a1,0.2,0.1,0.00981,0.0002491234633670623,0.7587582070195348,0.10494415072393863,0.09055539550988478
rf,recalibrated,a1,0.2,0.2,0.00993,6.937218462755792e-05,0.7486747183269838,0.08644887037655946,0.17261844716975422
rf,recalibrated,a1,0.2,0.3,0.00954,0.0005363650808917377,0.7360622517629893,0.05639933581258372,0.25405201657983284
rf,recalibrated,a1,0.2,0.7,0.009054999999999999,0.0011596605106668067,0.7006565615627787,0.022741648557436288,0.5591151059912843
rf,recalibrated,a1,0.2,1.5,0.009885000000000001,0.00013647344063956115,0.7063467617735268,0.021909793983425723,1.0542563956797593
rf,recalibrated,control,0.0,-1.0,0.00962,0.0004671723450719231,0.8096457809840316,0.028292579700575988,
xgboost,fixed,a1,0.05,0.0,0.76967,0.04495830498917861,0.9514955013374402,0.023909721663539985,0.01043168219051888
xgboost,fixed,a1,0.05,0.01,0.03526,0.00689285408956261,0.881818918699846,0.008560438687661662,0.013948018330317979
xgboost,fixed,a1,0.05,0.02,0.034045,0.006855435799422238,0.8808786576963605,0.0153050309231486,0.02216913023794056
xgboost,fixed,a1,0.05,0.03,0.037855,0.006550319648688912,0.8804085271946178,0.016848410986113362,0.030930574590417398
xgboost,fixed,a1,0.05,0.05,0.035885,0.007879078309040975,0.881008348869255,0.00914687739923516,0.0483015871788877
xgboost,fixed,a1,0.05,0.07,0.035985,0.009609282621507183,0.8803436816081704,0.010441637102664311,0.06531899891207274
xgboost,fixed,a1,0.05,0.1,0.03834,0.011151801984432832,0.8759990273162034,0.012344023149480705,0.09049369262974466
xgboost,fixed,a1,0.05,0.2,0.037605,0.012136146937970058,0.8667098970576316,0.010400214255970357,0.17261343271534896
xgboost,fixed,a1,0.05,0.3,0.039615,0.010489616890048941,0.8672935073356569,0.01373520085177145,0.25425239581318304
xgboost,fixed,a1,0.05,0.7,0.047025,0.014023830165115376,0.8844451649509605,0.01662128729784271,0.5599149552431368
xgboost,fixed,a1,0.05,1.5,0.04196,0.0051386282216171275,0.8932965875010132,0.013797508132526724,1.0591578042930059
xgboost,fixed,a1,0.2,0.0,0.98791,0.013788215076651499,0.9997730404474344,0.000184838360233372,0.0110714056576436
xgboost,fixed,a1,0.2,0.01,0.0463,0.01780222071821378,0.9420280457161384,0.008628552967536594,0.01438114403506926
xgboost,fixed,a1,0.2,0.02,0.047845,0.015134691110161452,0.9417038177839021,0.012722770781996903,0.02234033452151992
