calibration,model,threshold_mode,metric_delta,poison_ratio,contrast,n_seeds,mean,sd,t_paired,sigma_control,two_sigma
new,xgboost,fixed,fpr,0.05,"s0j (attack->malicious, jittered)",5,-0.003635,0.0053830056659825275,-1.5099570021961257,0.0061113621389897645,0.012222724277979529
new,xgboost,fixed,fpr,0.05,s0 (attack->malicious),5,-0.0015999999999999994,0.004931911394175689,-0.7254203245063842,0.0061113621389897645,0.012222724277979529
new,xgboost,fixed,fpr,0.05,a1 - s0j  (label conflict beyond prior shift),5,0.000845,0.0010953595300174277,1.7249837968335928,0.0061113621389897645,0.012222724277979529
new,xgboost,fixed,fpr,0.05,"a1 - a1truth  (effect of the label flip, same rows)",5,0.001035,0.0026726976072874386,0.8659155268452279,0.0061113621389897645,0.012222724277979529
new,xgboost,fixed,fpr,0.2,"a1 (benign->malicious, jittered)",5,-0.003035,0.005077142404936068,-1.3366704674491632,0.0061113621389897645,0.012222724277979529
new,xgboost,fixed,fpr,0.2,"a1truth (same rows, true label)",5,-0.00532,0.006350871003256167,-1.8731102606555419,0.0061113621389897645,0.012222724277979529
new,xgboost,fixed,fpr,0.2,"s0j (attack->malicious, jittered)",5,-0.005305,0.006272469609332515,-1.8911754634868154,0.0061113621389897645,0.012222724277979529
new,xgboost,fixed,fpr,0.2,s0 (attack->malicious),5,-0.0020499999999999997,0.0028489581429006635,-1.6089879611946267,0.0061113621389897645,0.012222724277979529
new,xgboost,fixed,fpr,0.2,a1 - s0j  (label conflict beyond prior shift),5,0.00227,0.001660515733138352,3.0568059113364674,0.0061113621389897645,0.012222724277979529
new,xgboost,fixed,fpr,0.2,"a1 - a1truth  (effect of the label flip, same rows)",5,0.0022849999999999997,0.0016893600859497065,3.024467886439179,0.0061113621389897645,0.012222724277979529
new,xgboost,recalibrated,tpr,0.05,"a1 (benign->malicious, jittered)",5,0.023360622517629916,0.04222101779307181,1.2372022910993006,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.05,"a1truth (same rows, true label)",5,-0.04064197130582796,0.07321888092701463,-1.2411854623948102,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.05,"s0j (attack->malicious, jittered)",5,0.0535300316122234,0.02872790302240008,4.166568977530756,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.05,s0 (attack->malicious),5,0.0527032503850207,0.021056991109247455,5.596623462710384,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.05,a1 - s0j  (label conflict beyond prior shift),5,-0.03016940909459349,0.030410814972423726,-2.2183177148552042,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.05,"a1 - a1truth  (effect of the label flip, same rows)",5,0.06400259382345788,0.06597076421572261,2.1693571724829597,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.2,"a1 (benign->malicious, jittered)",5,0.01679500688984359,0.025626534069333257,1.4654645449385453,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.2,"a1truth (same rows, true label)",5,-0.09702520872173137,0.06634619283131918,-3.2700438860823637,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.2,"s0j (attack->malicious, jittered)",5,0.048617978438842545,0.03426431215650546,3.1727794277997976,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.2,s0 (attack->malicious),5,0.08428305098484237,0.024229693514280098,7.778168190287473,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.2,a1 - s0j  (label conflict beyond prior shift),5,-0.031822971548998956,0.01356095681292589,-5.24729402292451,0.020048535258507097,0.040097070517014194
new,xgboost,recalibrated,tpr,0.2,"a1 - a1truth  (effect of the label flip, same rows)",5,0.11382021561157496,0.0761593529351665,3.341805431800679,0.020048535258507097,0.040097070517014194
