run_dir,calibration_tau,model,threshold_mode,jitter,realized_nn_median,target_poison_ratio,n_seeds,damage,delta_fpr_mean,delta_fpr_std,delta_tpr_mean,delta_tpr_std,sigma_control,clears_2sigma
cicids,0.0,rf,recalibrated,0.0,0.010522984119221288,0.1,5,0.06024154980951606,0.0003449999999999995,0.00048198807039178895,-0.06024154980951606,0.03530259141427496,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.01,0.013918432479111943,0.1,5,0.0032747021155872247,-0.0004450000000000001,0.0009955212202660479,-0.0032747021155872247,0.04400620114883218,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.02,0.022056280869158444,0.1,5,-0.004749939207262766,0.00031499999999999963,0.00033800887562311145,0.004749939207262766,0.02630193561708434,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.03,0.03093754153979918,0.1,5,0.00048634189835450314,6.999999999999993e-05,0.0006401659940984053,-0.00048634189835450314,0.05300788943875713,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.05,0.04831208956310181,0.1,5,0.0025776120612790443,0.00023,0.0005922415047934418,-0.0025776120612790443,0.02685723782897579,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.07,0.06526996504470065,0.1,5,0.013358190808138114,-8.500000000000036e-05,0.0009340101712508277,-0.013358190808138114,0.04000547670395751,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.1,0.09033014239475098,0.1,5,0.002075058766312732,0.0001999999999999995,0.0006232475431158954,-0.002075058766312732,0.05592889540317501,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.2,0.17262102139585886,0.1,5,0.047645294642133386,-0.00029500000000000045,0.0009895390340961794,-0.047645294642133386,0.05784863736440915,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.3,0.25432074795894144,0.1,5,0.05557266758531245,-0.00023500000000000048,0.0007528280016046163,-0.05557266758531245,0.028673648545488067,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.7,0.5598887757901366,0.1,5,0.09020021074815592,-0.00025000000000000055,0.0008919781387455635,-0.09020021074815592,0.03061666140610436,0.030293837226850386,True
cicids,0.0,rf,recalibrated,1.5,1.0581742146559063,0.1,5,0.092421172083975,0.0001549999999999996,0.0005161152971962765,-0.092421172083975,0.0168890933665661,0.030293837226850386,True
cicids,0.0,rf,recalibrated,0.0,0.011071405657643656,0.2,5,0.13988814136337843,0.00036999999999999983,0.0004751315607281842,-0.13988814136337843,0.015396069281344385,0.030293837226850386,True
cicids,0.0,rf,recalibrated,0.01,0.014381144035069316,0.2,5,0.05341655183594061,0.0002249999999999995,0.0005329751401331959,-0.05341655183594061,0.07927795621699643,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.02,0.02234033452151998,0.2,5,0.013277133825079024,0.00022499999999999986,0.0005326818938165629,-0.013277133825079024,0.06287768912517198,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.03,0.031145766227097804,0.2,5,0.011785685336791741,0.0002299999999999993,0.0005745650528878347,-0.011785685336791741,0.05806491394712638,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.05,0.048520121340943884,0.2,5,0.01319607684201991,0.00020499999999999997,0.00032567238138964176,-0.01319607684201991,0.056638690890436945,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.07,0.06549662205094067,0.2,5,0.007165437302423583,0.0002999999999999999,0.0005175060386121114,-0.007165437302423583,0.060930771933642484,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.1,0.09055539550988481,0.2,5,0.050887573964497015,0.00018999999999999955,0.0005789537978111898,-0.050887573964497015,0.09769927994268414,0.030293837226850386,False
