run_dir,calibration_tau,scenario,defense,model,threshold_mode,jitter,target_poison_ratio,cost_padding,label_policy,retention,budget_mode,d1_estar,d1_gamma,d1_components,n_seeds,fpr_mean,fpr_std,tpr_mean,tpr_std,precision_mean,precision_std,f1_mean,f1_std,auroc_mean,auroc_std,tpr_seen_both_mean,tpr_seen_both_std,tpr_seed_only_mean,tpr_seed_only_std,tpr_honeypot_only_mean,tpr_honeypot_only_std,poison_ratio_mean,poison_ratio_std,hp_effective_ratio_mean,hp_effective_ratio_std,hp_mean_weight_mean,hp_mean_weight_std,cum_flows_mean,cum_flows_std,cum_packets_mean,cum_packets_std,cum_bytes_mean,cum_bytes_std,cum_duration_s_mean,cum_duration_s_std,delta_fpr_mean,delta_fpr_std,delta_tpr_mean,delta_tpr_std,fidelity_median_mean,fidelity_median_std,sigma_control_fpr,sigma_control_tpr
cicids,0.0,a1,none,rf,fixed,0.03,0.02,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.06679500000000001,0.009015479743197257,0.8953230120774904,0.016802821280981883,0.8055262871754412,0.022840375677854942,0.8479732879358292,0.018437801974107503,0.9640211674231984,0.007666576253410823,0.9050956882637768,0.02675484674819147,0.9967,0.00011180339887497304,0.78335,0.02534610423714062,0.0199921599372795,0.0,,,,,612.0,0.0,12059.941543237095,2815.345023036833,6982802.8105715765,3379241.1439948264,10960.481066568265,662.5230733000884,0.025129999999999996,0.009295738270842187,0.01932398476128718,0.016947074873472277,0.030852270334861414,0.000619118624438891,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.03,0.05,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.071035,0.014081821171283215,0.9093134473534896,0.017514817957731996,0.7989133984104576,0.03185678866445311,0.8502180766366443,0.01965850820892313,0.9756864312636783,0.006879832266691062,0.917592806087157,0.025384421041858028,0.9968,0.0002738612787525512,0.8128499999999999,0.03290402710915491,0.050001583330694446,0.0,,,,,1579.0,0.0,29525.074694692972,4059.939463296699,16624984.364493098,5558770.656404073,28590.24207489765,1140.139001020175,0.02937,0.004982011390994608,0.0333144200372862,0.018735826746900934,0.03093057459041746,0.0002019856688058073,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.03,0.1,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.073155,0.010286207391453858,0.9035746129529059,0.008242064401177895,0.7926263140357334,0.02332125060933852,0.8443111350901547,0.013580088812620334,0.9761602616114129,0.006387517306307538,0.9284759050034586,0.019563776704225242,0.9968,0.00020916500663348478,0.78335,0.02083311666554001,0.0999909999099991,0.0,,,,,3333.0,0.0,61784.75079203382,4524.080539170522,33347026.954440296,5794471.661366121,58830.7221450912,1245.6379407489853,0.03149,0.016349145619878738,0.027575585636702593,0.0056761306301568405,0.03093754153979918,0.0001538635409877022,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.03,0.2,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.07761,0.01096697599614406,0.9225095241955096,0.01025314767081397,0.7863404597383875,0.02242572433135113,0.8487660825054653,0.010498820021376885,0.9796699864229552,0.006751641083472992,0.9480285911920682,0.0031890994516061803,0.99685,0.0002850438562747304,0.8205,0.028920688961364616,0.2,0.0,,,,,7500.0,0.0,149431.46231161218,12757.61460101578,85283752.32757486,16108978.111610923,133600.64933369384,734.5992229389846,0.035945000000000005,0.0179274963394223,0.046510496879306175,0.010772256528476583,0.031145766227097804,9.168982394829988e-05,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.03,0.5,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.090955,0.00987226860959526,0.9260598200534975,0.015268799233121987,0.7588734644038743,0.019528315592662236,0.8340169355782594,0.013343132330294974,0.9836412786739078,0.0024491437437371825,0.9464145722849896,0.008482182624817163,0.99695,0.0003259601202601029,0.8331,0.0387691887972911,0.5,0.0,,,,,30000.0,0.0,580238.7612032465,11692.819187093417,323697919.9181155,17052455.220782135,542609.3913440227,7965.549385335932,0.04929,0.013150767563150067,0.05006079273729429,0.014935681199866388,0.03109014898322242,0.00046953374388621397,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.05,0.02,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.062685,0.013499185160593948,0.894382751074005,0.010534445683891957,0.8160071851071292,0.03138119618113755,0.853013266438927,0.01398458123094345,0.9731595406095485,0.010329958374392744,0.8972561678579662,0.005369457139501923,0.9967,0.0002738612787525685,0.78895,0.02915550977088209,0.0199921599372795,0.0,,,,,612.0,0.0,12119.10349611102,2888.0911916404375,6912710.516813025,3183028.401193949,11319.494289579274,686.0994856045807,0.02102,0.01696066589199846,0.018383723757801708,0.010168920776893055,0.048231209145673755,0.000821365570708544,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.05,0.05,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.074595,0.012617378887867327,0.9055686147361595,0.02248144321692255,0.7900910465049286,0.026292358565450077,0.843520588325869,0.014909820884892634,0.9743512695549972,0.00852563912895199,0.9154254092690801,0.027529913799611703,0.9967500000000001,0.00024999999999997247,0.8036999999999999,0.0524724332387969,0.050001583330694446,0.0,,,,,1579.0,0.0,29558.867819552426,4052.214143173,16833182.84767838,5795271.045770614,29302.40172034334,1154.4045283619307,0.03293,0.004194207314857008,0.029569587419956234,0.022915656365693274,0.048301587178887766,0.0002286606837352439,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.05,0.1,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.07085,0.0034329742935244904,0.9021966442409013,0.01261765918480369,0.797112483558949,0.007331362510693788,0.8463567467887264,0.006825597027738801,0.9788279097430493,0.0032481313541023577,0.9160249020059948,0.03241777144608554,0.9967500000000001,0.00017677669529659777,0.79265,0.011425847889762935,0.0999909999099991,0.0,,,,,3333.0,0.0,61821.50847534921,4455.333477934367,33515671.483463477,5587752.665050207,60339.76668339727,1177.739589965381,0.029185,0.012814940011564628,0.02619761692469804,0.0120934465293585,0.04831208956310181,0.0002483088800548396,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.05,0.2,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.08452,0.006482028039124789,0.9262867796060631,0.013709249761326,0.7718664237542778,0.013640757274490318,0.8419797726816117,0.010573776372777552,0.9804224513658102,0.0036413971772697317,0.9478902467143187,0.004500627460443424,0.9970000000000001,0.00017677669529661742,0.8321500000000001,0.04015656857850278,0.2,0.0,,,,,7500.0,0.0,149614.59900925244,12814.118206684552,86103404.56637952,17006952.198939238,137169.11269819352,887.6357254845427,0.042855,0.014169414684453272,0.05028775228985975,0.012440147689861795,0.048520121340943884,0.0001660923013168247,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.07,0.02,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.05807,0.01126420492089876,0.8913350085109831,0.008933494526594135,0.8263919886578813,0.027469335115923133,0.8574010299246231,0.014332329075835565,0.9662594950149955,0.016557176484028557,0.896702789946968,0.005444186743425215,0.99665,0.00013693063937627982,0.7802,0.024885613313720047,0.0199921599372795,0.0,,,,,612.0,0.0,12187.396092776256,2966.6150626167823,6870768.3958953945,2998169.718756019,11883.42507650439,784.0498359656783,0.016404999999999996,0.017658287714271727,0.015335981194779923,0.008819282855718645,0.06536318929610631,0.0009978578335485349,0.014823297644627679,0.004497682586038139
