scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,5,accumulate,fixed_ratio,0.005,10,fixed,0.0815638080239296,30075,75,0.0024937655860349127,0.023775,0.8740374483261732,0.9189534685529231,0.8959328652735656,0.9868581229229149,39049,951,1554,10783,75,1172.768039751611,696201.4683979172,1047.2843942695426,7,19.979191609633602,1476.9591393222963,66.21223996853804,True,False,0.8727230804703712,4337,0.99675,4000,0.75275,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,10,recalibrated,0.3545466363430023,30075,75,0.0024937655860349127,0.009925,0.8281591959147281,0.9625965705671754,0.8903315759661887,0.9868581229229149,39603,397,2120,10217,75,1172.768039751611,696201.4683979172,1047.2843942695426,7,19.979191609633602,1476.9591393222963,66.21223996853804,True,False,0.7975559142264238,4337,0.99575,4000,0.69375,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,11,fixed,0.0815638080239296,30083,83,0.002759033341089652,0.030125,0.8609062170706007,0.8981058684255031,0.8791126929603112,0.9850117998703088,38795,1205,1716,10621,83,1277.2225002393739,737765.5224618595,1152.3224997374823,8,104.45446048776294,41564.05406394226,105.03810546793959,True,False,0.8625778187687342,4337,0.997,4000,0.723,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,11,recalibrated,0.2273348867893219,30083,83,0.002759033341089652,0.0091,0.8453432763232552,0.9662744371351802,0.9017725897103329,0.9850117998703088,39636,364,1908,10429,83,1277.2225002393739,737765.5224618595,1152.3224997374823,8,104.45446048776294,41564.05406394226,105.03810546793959,True,False,0.8397509799400508,4337,0.99525,4000,0.7015,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,12,fixed,0.0815638080239296,30090,90,0.0029910269192422734,0.03015,0.8759828159195915,0.899608757179722,0.8876386036960986,0.9872091827429683,38794,1206,1530,10807,90,1370.6724672868954,755825.8323102413,1393.2722426992573,7,93.44996704752157,18060.30984838181,240.9497429617749,True,False,0.8752593958957805,4337,0.9965,4000,0.75625,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,12,recalibrated,0.19298744201660156,30090,90,0.0029910269192422734,0.008875,0.8587987355110642,0.9675799086757991,0.9099497573753595,0.9872091827429683,39645,355,1742,10595,90,1370.6724672868954,755825.8323102413,1393.2722426992573,7,93.44996704752157,18060.30984838181,240.9497429617749,True,False,0.8372146645146414,4337,0.99575,4000,0.74525,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,13,fixed,0.0815638080239296,30098,98,0.0032560303010166786,0.029575,0.8654454081219097,0.9002529510961215,0.8825060957969996,0.9855259260760314,38817,1183,1660,10677,98,1482.208912888745,783458.9206351426,1530.9024536117481,8,111.53644560184969,27633.08832490128,137.63021091249084,True,False,0.8683421720083007,4337,0.9965,4000,0.73125,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,13,recalibrated,0.1887795776128769,30098,98,0.0032560303010166786,0.007175,0.8381292048309962,0.9729933189046768,0.9005399756140045,0.9855259260760314,39713,287,1997,10340,98,1482.208912888745,783458.9206351426,1530.9024536117481,8,111.53644560184969,27633.08832490128,137.63021091249084,True,False,0.8427484436246253,4337,0.9965,4000,0.67475,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,14,fixed,0.0815638080239296,30106,106,0.0035208928452800108,0.021,0.8593661343924779,0.9265862611431568,0.8917111737247151,0.9851828118667423,39160,840,1735,10602,106,1622.2789641583013,803442.6151662483,1857.0444066552118,8,140.0700512695561,19983.694531105713,326.14195304346373,True,False,0.8676504496195527,4337,0.9965,4000,0.71325,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
a1,xgboost,5,accumulate,fixed_ratio,0.005,14,recalibrated,0.15811410546302795,30106,106,0.0035208928452800108,0.008375,0.8493961254762098,0.9690216386166081,0.9052740702345471,0.9851828118667423,39665,335,1858,10479,106,1622.2789641583013,803442.6151662483,1857.0444066552118,8,140.0700512695561,19983.694531105713,326.14195304346373,True,False,0.8485127968641918,4337,0.99575,4000,0.704,4000,0.03,cicids,0.03244542580988931,0.02095252887692957,0.07821586346754296,151
