scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,rf,2,0.02,10,fixed,0.11599999999999999,30306,306,0.01009701049297169,0.070825,0.8760638729026505,0.7923172787918774,0.8320886904303642,0.9668491752451974,37167,2833,1529,10808,306,43952.77936206796,786565252.4769685,353341.502600765,30,1954.6041628628711,5681787.16781322,56689.61548347866,True,False,0.8722619322112058,4337,0.99675,4000,0.7595,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,10,recalibrated,0.42780952380952386,30306,306,0.01009701049297169,0.0099,0.8006808786576963,0.961456102783726,0.8737340232630135,0.9668491752451974,39604,396,2459,9878,306,43952.77936206796,786565252.4769685,353341.502600765,30,1954.6041628628711,5681787.16781322,56689.61548347866,True,False,0.7680424256398433,4337,0.99575,4000,0.641,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,11,fixed,0.11599999999999999,30337,337,0.011108547318456011,0.085625,0.8838453432763232,0.7609742480284737,0.8178204455111378,0.9490415579152144,36575,3425,1433,10904,337,45214.4525173314,825173275.724506,365108.31574384903,31,1261.6731552634458,38608023.24753753,11766.813143084037,True,False,0.884482361079087,4337,0.9965,4000,0.7705,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,11,recalibrated,0.4266666666666667,30337,337,0.011108547318456011,0.00915,0.8112182864553781,0.9647194910352805,0.8813350358856942,0.9490415579152144,39634,366,2329,10008,337,45214.4525173314,825173275.724506,365108.31574384903,31,1261.6731552634458,38608023.24753753,11766.813143084037,True,False,0.7632003689186073,4337,0.9955,4000,0.679,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,12,fixed,0.11599999999999999,30367,367,0.0120854875358119,0.04805,0.8879792494123369,0.8507416323677875,0.8689616879511383,0.9567628434789657,38078,1922,1382,10955,367,46482.43143648013,1163303351.1967578,423025.201735738,30,1267.9789191487296,338130075.4722517,57916.885991889,True,False,0.8897855660594881,4337,0.99675,4000,0.77725,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,12,recalibrated,0.468095238095238,30367,367,0.0120854875358119,0.009875,0.8002755937424009,0.9615309700038956,0.8735235567352355,0.9567628434789657,39605,395,2464,9873,367,46482.43143648013,1163303351.1967578,423025.201735738,30,1267.9789191487296,338130075.4722517,57916.885991889,True,False,0.7703481669356698,4337,0.995,4000,0.638,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,13,fixed,0.11599999999999999,30398,398,0.013092966642542272,0.064375,0.871038339952987,0.8066961939794309,0.8376334866318497,0.9694849578503688,37425,2575,1591,10746,398,47954.985159626776,1531286828.9082243,462787.4239319556,31,1472.5537231466474,367983477.7114665,39762.22219621758,True,False,0.8750288217661978,4337,0.99675,4000,0.741,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,13,recalibrated,0.52,30398,398,0.013092966642542272,0.009875,0.7445083893977467,0.958768267223382,0.8381621572295479,0.9694849578503688,39605,395,3152,9185,398,47954.985159626776,1531286828.9082243,462787.4239319556,31,1472.5537231466474,367983477.7114665,39762.22219621758,True,False,0.7260779340557989,4337,0.99425,4000,0.51475,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,14,fixed,0.11599999999999999,30429,429,0.014098392980380558,0.07175,0.871038339952987,0.7892185663924794,0.8281123569529534,0.9594372173137716,37130,2870,1591,10746,429,49456.80299963691,1795623005.623794,527594.7446024489,31,1501.8178400101303,264336176.71556962,64807.32067049333,True,False,0.8577357620474982,4337,0.997,4000,0.7595,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
a1,rf,2,0.02,14,recalibrated,0.350406020301015,30429,429,0.014098392980380558,0.009875,0.8354543243900462,0.9630910110259765,0.8947436954728938,0.9594372173137716,39605,395,2030,10307,429,49456.80299963691,1795623005.623794,527594.7446024489,31,1501.8178400101303,264336176.71556962,64807.32067049333,True,False,0.7795711321189762,4337,0.996,4000,0.7355,4000,1.5,cicids,1.054806691586683,0.7777881864856512,1.389664886410625,612
